task,model,subject,session,accuracy,balanced_accuracy,f1_score,kappa,loss,n_subjects,loso_acc_mean,loso_acc_std,loso_balacc_mean,loso_f1_mean,loso_kappa_mean
semantic_category,EEGNetv4,01,01,0.208333,0.208333,0.204177,0.05,1.792754,14,0.198909,0.015715,0.198909,0.185733,0.03869
semantic_category,EEGNetv4,02,01,0.177778,0.177778,0.156822,0.013333,1.791296,14,0.198909,0.015715,0.198909,0.185733,0.03869
semantic_category,EEGNetv4,03,01,0.186111,0.186111,0.180337,0.023333,1.794208,14,0.198909,0.015715,0.198909,0.185733,0.03869
semantic_category,EEGNetv4,04,01,0.211111,0.211111,0.210832,0.053333,1.830824,14,0.198909,0.015715,0.198909,0.185733,0.03869
semantic_category,EEGNetv4,04,02,0.183333,0.183333,0.180663,0.02,1.847681,14,0.198909,0.015715,0.198909,0.185733,0.03869
semantic_category,EEGNetv4,05,01,0.166667,0.166667,0.164401,0.0,1.805513,14,0.198909,0.015715,0.198909,0.185733,0.03869
semantic_category,EEGNetv4,05,02,0.183333,0.183333,0.180872,0.02,1.788801,14,0.198909,0.015715,0.198909,0.185733,0.03869
semantic_category,EEGNetv4,06,01,0.186111,0.186111,0.164583,0.023333,1.793574,14,0.198909,0.015715,0.198909,0.185733,0.03869
semantic_category,EEGNetv4,07,01,0.177778,0.177778,0.169431,0.013333,1.816321,14,0.198909,0.015715,0.198909,0.185733,0.03869
semantic_category,EEGNetv4,08,01,0.216667,0.216667,0.176444,0.06,1.788941,14,0.198909,0.015715,0.198909,0.185733,0.03869
semantic_category,EEGNetv4,09,01,0.219444,0.219444,0.217584,0.063333,1.77511,14,0.198909,0.015715,0.198909,0.185733,0.03869
semantic_category,EEGNetv4,09,02,0.216667,0.216667,0.215941,0.06,1.813523,14,0.198909,0.015715,0.198909,0.185733,0.03869
semantic_category,EEGNetv4,10,01,0.219444,0.219444,0.2183,0.063333,1.81091,14,0.198909,0.015715,0.198909,0.185733,0.03869
semantic_category,EEGNetv4,11,01,0.213889,0.213889,0.17391,0.056667,1.789388,14,0.198909,0.015715,0.198909,0.185733,0.03869
semantic_category,EEGNetv4,12,01,0.219444,0.219444,0.194744,0.063333,1.790003,14,0.198909,0.015715,0.198909,0.185733,0.03869
semantic_category,EEGNetv4,12,02,0.208333,0.208333,0.176088,0.05,1.790875,14,0.198909,0.015715,0.198909,0.185733,0.03869
semantic_category,EEGNetv4,13,01,0.211111,0.211111,0.208462,0.053333,1.803965,14,0.198909,0.015715,0.198909,0.185733,0.03869
semantic_category,EEGNetv4,13,02,0.188889,0.188889,0.180173,0.026667,1.789717,14,0.198909,0.015715,0.198909,0.185733,0.03869
semantic_category,EEGNetv4,14,01,0.194444,0.194444,0.191376,0.033333,1.784724,14,0.198909,0.015715,0.198909,0.185733,0.03869
semantic_category,LaBraM,01,01,0.166667,0.166667,0.047619,0.0,1.800687,14,0.169544,0.005567,0.169544,0.055945,0.003452
semantic_category,LaBraM,02,01,0.166667,0.166667,0.047619,0.0,1.795754,14,0.169544,0.005567,0.169544,0.055945,0.003452
semantic_category,LaBraM,03,01,0.166667,0.166667,0.047619,0.0,1.793757,14,0.169544,0.005567,0.169544,0.055945,0.003452
semantic_category,LaBraM,04,01,0.166667,0.166667,0.047619,0.0,1.798173,14,0.169544,0.005567,0.169544,0.055945,0.003452
semantic_category,LaBraM,04,02,0.166667,0.166667,0.047619,0.0,1.798675,14,0.169544,0.005567,0.169544,0.055945,0.003452
semantic_category,LaBraM,05,01,0.166667,0.166667,0.047619,0.0,1.794776,14,0.169544,0.005567,0.169544,0.055945,0.003452
semantic_category,LaBraM,05,02,0.166667,0.166667,0.047619,0.0,1.793899,14,0.169544,0.005567,0.169544,0.055945,0.003452
semantic_category,LaBraM,06,01,0.166667,0.166667,0.047619,0.0,1.796023,14,0.169544,0.005567,0.169544,0.055945,0.003452
semantic_category,LaBraM,07,01,0.172222,0.172222,0.079206,0.006667,1.793091,14,0.169544,0.005567,0.169544,0.055945,0.003452
semantic_category,LaBraM,08,01,0.166667,0.166667,0.047619,0.0,1.799076,14,0.169544,0.005567,0.169544,0.055945,0.003452
semantic_category,LaBraM,09,01,0.166667,0.166667,0.047619,0.0,1.795652,14,0.169544,0.005567,0.169544,0.055945,0.003452
semantic_category,LaBraM,09,02,0.166667,0.166667,0.047619,0.0,1.795447,14,0.169544,0.005567,0.169544,0.055945,0.003452
semantic_category,LaBraM,10,01,0.166667,0.166667,0.047619,0.0,1.797034,14,0.169544,0.005567,0.169544,0.055945,0.003452
semantic_category,LaBraM,11,01,0.186111,0.186111,0.093565,0.023333,1.792323,14,0.169544,0.005567,0.169544,0.055945,0.003452
semantic_category,LaBraM,12,01,0.166667,0.166667,0.047619,0.0,1.792145,14,0.169544,0.005567,0.169544,0.055945,0.003452
semantic_category,LaBraM,12,02,0.166667,0.166667,0.047619,0.0,1.792258,14,0.169544,0.005567,0.169544,0.055945,0.003452
semantic_category,LaBraM,13,01,0.166667,0.166667,0.056645,0.0,1.79187,14,0.169544,0.005567,0.169544,0.055945,0.003452
semantic_category,LaBraM,13,02,0.175,0.175,0.062615,0.01,1.791707,14,0.169544,0.005567,0.169544,0.055945,0.003452
semantic_category,LaBraM,14,01,0.177778,0.177778,0.074644,0.013333,1.791783,14,0.169544,0.005567,0.169544,0.055945,0.003452
semantic_category,ShallowFBCSPNet,01,01,0.177778,0.177778,0.101634,0.013333,-424.818059,14,0.177282,0.009222,0.177282,0.093424,0.012738
semantic_category,ShallowFBCSPNet,02,01,0.188889,0.188889,0.110753,0.026667,-559.145813,14,0.177282,0.009222,0.177282,0.093424,0.012738
semantic_category,ShallowFBCSPNet,03,01,0.175,0.175,0.074107,0.01,-1330.444336,14,0.177282,0.009222,0.177282,0.093424,0.012738
semantic_category,ShallowFBCSPNet,04,01,0.166667,0.166667,0.125346,0.0,-128.105126,14,0.177282,0.009222,0.177282,0.093424,0.012738
semantic_category,ShallowFBCSPNet,04,02,0.175,0.175,0.158797,0.01,-16.061423,14,0.177282,0.009222,0.177282,0.093424,0.012738
semantic_category,ShallowFBCSPNet,05,01,0.188889,0.188889,0.128415,0.026667,-474.316218,14,0.177282,0.009222,0.177282,0.093424,0.012738
semantic_category,ShallowFBCSPNet,05,02,0.169444,0.169444,0.083529,0.003333,-759.417165,14,0.177282,0.009222,0.177282,0.093424,0.012738
semantic_category,ShallowFBCSPNet,06,01,0.186111,0.186111,0.181003,0.023333,-10.67343,14,0.177282,0.009222,0.177282,0.093424,0.012738
semantic_category,ShallowFBCSPNet,07,01,0.197222,0.197222,0.127706,0.036667,-369.629166,14,0.177282,0.009222,0.177282,0.093424,0.012738
semantic_category,ShallowFBCSPNet,08,01,0.169444,0.169444,0.063484,0.003333,-2295.874552,14,0.177282,0.009222,0.177282,0.093424,0.012738
semantic_category,ShallowFBCSPNet,09,01,0.194444,0.194444,0.133545,0.033333,-508.6377,14,0.177282,0.009222,0.177282,0.093424,0.012738
semantic_category,ShallowFBCSPNet,09,02,0.183333,0.183333,0.07876,0.02,-1704.551514,14,0.177282,0.009222,0.177282,0.093424,0.012738
semantic_category,ShallowFBCSPNet,10,01,0.166667,0.166667,0.047619,0.0,-1981.00116,14,0.177282,0.009222,0.177282,0.093424,0.012738
semantic_category,ShallowFBCSPNet,11,01,0.169444,0.169444,0.0536,0.003333,-267.569122,14,0.177282,0.009222,0.177282,0.093424,0.012738
semantic_category,ShallowFBCSPNet,12,01,0.166667,0.166667,0.047619,0.0,-271.451492,14,0.177282,0.009222,0.177282,0.093424,0.012738
semantic_category,ShallowFBCSPNet,12,02,0.166667,0.166667,0.047619,0.0,-262.554174,14,0.177282,0.009222,0.177282,0.093424,0.012738
semantic_category,ShallowFBCSPNet,13,01,0.169444,0.169444,0.061199,0.003333,-266.420542,14,0.177282,0.009222,0.177282,0.093424,0.012738
semantic_category,ShallowFBCSPNet,13,02,0.172222,0.172222,0.058324,0.006667,-294.594401,14,0.177282,0.009222,0.177282,0.093424,0.012738
semantic_category,ShallowFBCSPNet,14,01,0.175,0.175,0.086458,0.01,-1034.098785,14,0.177282,0.009222,0.177282,0.093424,0.012738
speech_mode,Deep4Net,01,01,0.335948,0.335948,0.179151,0.003922,-8743.537679,14,0.343557,0.011282,0.343557,0.229462,0.015336
